trans_id,lang,translation,category,station_sid,course_sid
鵜渡瀬,ko,우도세,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
鵜渡瀬,zh-ch,鹈渡濑,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
鵜渡瀬,zh-tw,鵜渡瀨,stop_name,c2f9f02c-c5e4-4f30-86e9-28a7ee37c5b0,
矢野南１丁目,ja,矢野南１丁目,stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
矢野南１丁目,ja-Hrkt,やのみなみいっちょうめ,stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
矢野南１丁目,en,Yano-minami-itchome (Yano-minami 1),stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
矢野南１丁目,ko,야노 미나미 1초메,stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
矢野南１丁目,zh-ch,矢野南1丁目,stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
矢野南１丁目,zh-tw,矢野南1丁目,stop_name,f5551001-e7d7-49b8-953c-9b40c6f189aa,
山田入口,ja,山田入口,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
山田入口,ja-Hrkt,やまだいりぐち,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
山田入口,en,Yamada-iriguchi,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
山田入口,ko,야마다 이리구치,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
山田入口,zh-ch,山田入口,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
山田入口,zh-tw,山田入口,stop_name,e5391ddb-f8d0-47df-8cf7-8fcde353c274,
熊野保育所前,en,Kumano Hoikusho-mae (Kumano Nursery),stop_name,9304159a-9a47-4a96-84df-97f6bbc5234f,
熊野保育所前,ko,구마노 보육소,stop_name,9304159a-9a47-4a96-84df-97f6bbc5234f,
熊野保育所前,zh-ch,熊野保育所前,stop_name,9304159a-9a47-4a96-84df-97f6bbc5234f,
熊野保育所前,zh-tw,熊野保育所前,stop_name,9304159a-9a47-4a96-84df-97f6bbc5234f,
あさひが丘下,ja,あさひが丘下,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
あさひが丘下,ja-Hrkt,あさひがおかしも,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
あさひが丘下,en,Asahigaoka-shimo,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
あさひが丘下,ko,아사히가오카 시모,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
あさひが丘下,zh-ch,旭丘下,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
あさひが丘下,zh-tw,旭丘下,stop_name,ff2c22e5-ea00-41e4-a124-49acb7933218,
観音小学校前,ja,観音小学校前,stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
観音小学校前,ja-Hrkt,かんおんしょうがっこうまえ,stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
観音小学校前,en,Kanon Shogakko-mae (Kanon Elementary School),stop_name,6b004c42-0069-4c8f-8ba0-f566c4d7f77e,
