trans_id,lang,translation
津都見,zh-ch,津都见
津都見,zh-tw,津都見
中広二丁目,ja,中広二丁目
中広二丁目,ja-Hrkt,なかひろにちょうめ
熊野中筋,ja,熊野中筋
熊野中筋,ja-Hrkt,くまのなかすじ
熊野中筋,en,Kumano Nakasuji
熊野中筋,ko,구마노 나카스지
熊野中筋,zh-ch,熊野中筋
熊野中筋,zh-tw,熊野中筋
白石,ja,白石
白石,ja-Hrkt,しらいし
大芝町,ja,大芝町
大芝町,ja-Hrkt,おおしばちょう
下向上,ja,下向上
下向上,ja-Hrkt,しもむかいかみ
宮原１３丁目,ja,宮原１３丁目
宮原１３丁目,ja-Hrkt,みやはらじゅうさんちょうめ
下の浜,ja,下の浜
下の浜,ja-Hrkt,したのはま
下の浜,en,Shimonohama
下の浜,ko,시모노하마
下の浜,zh-ch,下之滨
下の浜,zh-tw,下之濱
下土居,ja,下土居
下土居,ja-Hrkt,しもどい
桂浜･温泉館,ja,桂浜･温泉館
桂浜･温泉館,ja-Hrkt,かつらがはまおんせんかん
安芸南高校北,ja,安芸南高校北
安芸南高校北,ja-Hrkt,あきみなみこうこうきた
海田大正町,ja,海田大正町
海田大正町,ja-Hrkt,かいたたいしょうまち
赤羽,ja,赤羽
赤羽,ja-Hrkt,あかばね
西観音町,ja,西観音町
西観音町,ja-Hrkt,にしかんおんまち
江波東二丁目,ja,江波東二丁目
江波東二丁目,ja-Hrkt,えばひがしにちょうめ
程原,ja,程原
程原,ja-Hrkt,ほどはら
河内下城,ja,河内下城
河内下城,ja-Hrkt,こうちしもじょう
河内下城,en,Kochi Shimojo
河内下城,ko,고치 시모조
河内下城,zh-ch,河内下城
河内下城,zh-tw,河內下城
大塚駅,ja,大塚駅
大塚駅,ja-Hrkt,おおづかえき
大塚駅,en,Ozuka Sta.
大塚駅,ko,오즈카 역
大塚駅,zh-ch,大塚站
大塚駅,zh-tw,大塚站
上萩原,ja,上萩原
上萩原,ja-Hrkt,かみはぎはら
八幡,ja,八幡
八幡,ja-Hrkt,はちまん
八幡,en,Yahata
八幡,ko,야하타
八幡,zh-ch,八幡
八幡,zh-tw,八幡
府中南小学校前,ja,府中南小学校前
府中南小学校前,ja-Hrkt,ふちゅうみなみしょうがっこうまえ
府中南小学校前,en,Fuchu-minami Shogakko-mae (Fuchu-minami Elementary School)
府中南小学校前,ko,후추 미나미 초등학교
府中南小学校前,zh-ch,府中南小学前
府中南小学校前,zh-tw,府中南小學前
宮園一丁目,ja,宮園一丁目
宮園一丁目,ja-Hrkt,みやぞのいっちょうめ
仁保一丁目,ja,仁保一丁目
仁保一丁目,ja-Hrkt,にほいっちょうめ
仁保一丁目,en,Niho-itchome (Niho 1)
仁保一丁目,ko,니호 1초메
仁保一丁目,zh-ch,仁保一丁目
仁保一丁目,zh-tw,仁保一丁目
江波トンネル北,ja,江波トンネル北
江波トンネル北,ja-Hrkt,えばとんねるきた
グリーンタウン郷原入口,ja,グリーンタウン郷原入口
